№ п/п,Комбинат,Местоположение,Название должности,Требования,Обязанности,Условия работы,Зарплата,Категория позиции,Тип занятости:,График работы,Сфера деятельности,Кому направить резюме (e-mail),,1/10/2020
106,СВЕЗА Мантурово,Мантурово,Начальник отдела технического обслуживания и ремонта производства шпона и фанеры,"•Образование высшее техническое или средне специальное с опытом работы в данной сфере не менее 3-х лет
•Опыт работ в технических и ремонтных сферах обязателен
•Уверенное владение ПК МS Office и SAP ERP
•Умение работать в команде
•Навык управленческих коммуникаций
•Способность работать в режиме многозадачности
","•Организация планирования и исполнения планов отдела технического обслуживания и ремонта производства шпона и фанеры, обеспечивая при этом должный уровень качества работ и безопасности
•Разработка методик и инструментов эффективной организации отдела технического обслуживания и ремонта оборудования
•Обеспечение планирования и исполнения бюджета отдела технического обслуживания и ремонта
•Разработка и реализация проектов в целях постоянного улучшения и совершенствования системы отдела технического обслуживания и ремонта с использованием лучших мировых практик
•Внедрение системы производственной надежности оборудования, комплексная работа с анализом существующих стратегий
•Организация и проведение обучения сотрудников методикам и инструментам системной организации отдела технического обслуживания и ремонта, обеспечение вовлеченности работников
•Организация безопасной эксплуатации ОПО, соблюдение правил и требований техники безопасности, выполнение предписаний
•Системная работа по повышению надёжности и ремонтопригодности оборудования зоны ответственности
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",по договоренности,РСС,Полная занятость,Полный день,Техническое развитие ,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
107,СВЕЗА Усть-Ижора,Санкт-Петербург,Старший машинист ТЭЦ,"•Средне-специальное энергетическое образование.
•Стаж работы по профессии не менее 3-ти лет в области эксплуатации энергетического оборудования.
•Документы (аттестаты, дипломы и т.д.) об получении первичного образования по профессиям:
машинист котлов 4 р.; машинист паровых турбин 3 р.; аппаратчик химводоочистки электростанций 3 р.; электромонтёр по обслуживанию электрооборудования электростанций 4 р.; лаборант химанализа 3 р.
•Протоколы проверки знаний и удостоверения, дающие право на допуск к спецработам:
- допуск к обслуживанию паровых и водогрейных котлов, работающих на газообразном и твёрдом топливе;
- допуск к обслуживанию трубопроводов пара и горячей воды;
- допуск к эксплуатации сосудов, работающих под давлением;
- удостоверение по электробезопасности 4 гр. до и выше 1000 В;
- допуск к работам на высоте.
•Знание НТД в области технической эксплуатации оборудования, работающего под давлением, газового оборудования, правил тепловых и электрических установок, электростанций и сетей в объёме ПИ, ДИ и инструкций по ОТ.","•Обеспечение безаварийной, бесперебойной и эффективной эксплуатации тепло- и электрогенерирующего оборудования комбината (паровые / водогрейные котлоагрегаты, паровые турбоагрегаты), вспомогательного оборудования (систем топливоподачи, ВПУ, электрооборудования собственных нужд и т.д.), теплопотребляющего оборудования, сетей водоснабжения и водоотведения предприятия, газового оборудования и сетей, тепловых сетей и электросетей в пределах границ эксплуатационной ответственности отдела;
•Обеспечение выполнения требований ФЗ и НТД в объёме производственных, должностных инструкций и инструкций по ОТ при эксплуатации и ремонте вверенного оборудования;
•Осуществление функции оперативно-диспетчерского управления при переключениях в электросетях, тепловых сетях, газовых сетях, сетях водоснабжения предприятия; Организация общей координации с диспетчерским управлением энергоснабжающих организаций при переключениях;
•Контроль качества и ведение процесса водоподготовки и очистки сточных вод мини-ТЭЦ;
•Ведение оперативной документации (оперативный журнал, журнал дефектов и т.д.);
•Обеспечение подготовки оборудования и сооружений для передачи их в ремонт и приёмку оборудования из ремонта
•Осуществление обходов и осмотров оборудования, выявление неисправностей. В отсутствие ремонтного персонала, при необходимости, организует техническое обслуживание оборудования (подтяжка сальников, доливка масла и т.д.).","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС;
• Служебная развозка (м. Рыбацкое, Колпино, Металлострой, Никольское);
• Место работы: пос. Понтонный,  ул. Фанерная, д.5.",,Рабочие,Полная занятость,Полный день,Техническое развитие ,oa.vlasova@sveza.com,• oa.vlasova@sveza.com [color=violet](oa точка власова собака свеза точка ком)[/color],
108,СВЕЗА Уральский,Уральский,Сортировщик шпона и фанеры,"• Среднее образование;
• Знания технологии производства фанеры, видов и причин технического брака на выпускаемую продукцию, меры его устранения;
• Опыт работы на любых автоматических линиях, современных станках.


","• Осуществление процесса сортировки шпона по качественным признакам, порокам древесины и дефектам обработки;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка (п. Новоильинский, г. Нытва);
• Место работы: пос. Уральский, ул. Московская, д. 1 А",от 25 000 руб.,Рабочие,Полная занятость,Сменный график,Производство,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
109,СВЕЗА Уральский,Уральский,Водитель автопогрузчика,"• Среднее образование;
• Обязателен опыт работы на аналогичной позиции не менее 1 года;
• Наличие действующих прав тракториста машиниста с особой отметкой «водитель автопогрузчика»
","• Транспортировка грузов между цехами;
• Подготовка погрузчика к эксплуатации (оценка технического состояния);
• Обеспечение бесперебойного выпуска продукции путем перемещения материалов на автопогрузчике;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности;
• Замена газовых баллонов.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка (п. Новоильинский, г. Нытва);
• Место работы: пос. Уральский, ул. Московская, д. 1 А",от 25 000,Рабочие,Полная занятость,Сменный график,Техническое развитие ,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
110,СВЕЗА Мантурово,Мантурово,Машинист крана ,"• Среднее образование;
• Опыт работы не менее 1 года по специальности ""машинист крана"";
• Наличие действующего удостоверения по профессии ""Машинист крана"".


","• Управление мостовыми кранами, оснащенными различными грузозахватными приспособлениями при выполнении работ средней сложности по погрузке, разгрузке, перегрузке и транспортировке грузов;
•Обеспечение своевременной подачи контейнеров на контейнерную площадку  с учетом сохранности товарно-материальных ценностей;
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",от 22000,Рабочие,Полная занятость,Сменный график,Закупки и логистика,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
111,СВЕЗА Мантурово,Мантурово,Машинист насосных установок,"• Среднее образование;
• Опыт работы не менее 1 года машинистом насосных установок;
• Удостоверение машиниста насосных установок.


","• Обслуживание насосных установок;
•Поддержание заданного давления перекачиваемых жидкостей;
• Контроль бесперебойной работы насосов;
• Ремонт насосного оборудования;
•Запуск, остановка и переключение насосов
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",от 16000,Рабочие,Полная занятость,Сменный график,Техническое развитие ,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
112,СВЕЗА Мантурово,Мантурово,Сортировщик шпона и фанеры (фанера),"• Среднее образование;


","• Сортировка и маркировка фанеры в соответствии с существующими требованиями  по порокам древесины, дефектам обработки, толщинам, сортам согласно требованиям;
•Устранение дефектов на поверхности фанеры;
• Доработка дефектных листов фанеры вручную или электрической шлифовальной машинкой.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",24000,Рабочие,Полная занятость,Сменный график,Производство,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
113,СВЕЗА Новатор,Новатор ,Починщик шпона и фанеры,"• Среднее образование;
• Приветствуется опыт работы на любых автоматических линиях, современных станках.","• Осуществление процесса починки шпона на станке;
• Заправка починочных полос шпона в станок;
• Скрепление степлером трещин в шпоне;
•  Участие в устранении неполадок в работе станка, уборка обслуживаемого оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Рекомендательное письмо по итогам стажировки;
• Трудоустройство в соответствии с ТК РФ на период стажировки (июнь-август);
• Компенсационный пакет: спецодежда, ДМС.",от 23 000,Рабочие,Полная занятость,Сменный график,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
114,СВЕЗА Мантурово,Мантурово,Сушильщик шпона,"• Среднее образование;


","• Производит сушку шпона на сушилках в соответствии с технологическим режимом сушки и с существующими схемами по порокам древесины, дефектам обработки, качеству и назначению.
• Следит за правильной и равномерной посадкой шпона в сушилку, не допускает посадки сдвоенных листов. Во избежание заломов листы с краевыми закорами, трещинами разворачивает так, чтобы подавать шпон в сушилку ровной стороной листа, без дефектов.;
• Устраняет мелкие неполадки в сушилке, ликвидирует заломы и самовозгорания шпона в сушилке
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",24000,Рабочие,Полная занятость,Сменный график,Производство,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
115,СВЕЗА Ресурс,Тотьма,Лесохозяйственный рабочий ,"Основное общее образование
Опыт работы лесохозяйственным работником от 1 года.
Удостоверение вальщика леса (работа с бензоинструментом).","• Предварительная подготовка абриса лесосек для отвода.
• Осмотр лесосечного фонда.
• Отвод лесосек  (привязка, постановка деляночных столбов, отбивка границ,  подготовка абриса, определение количественных и качественных параметров древостоя с помощью специнструмента: запас, диаметр, высота, подрост, процент повреждения, определение почвенно-грунтовых условий), разметка волочной сети.
•  Обработка (обсчет) материалов отвода.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Трудоустройство в соответствии с ТК РФ;
• Официальная заработная плата (выплаты 2 раза в месяц);
• Компенсационный пакет;
• Перспектива профессионального и карьерного роста;
• Работа на территории Тотемского района (Вологодская область).",до 35 000,Рабочие,Полная занятость,Полный день,Лесозаготовка,es.dobretcova@sveza.com,• es.dobretcova@sveza.com  [color=violet](и эс точка добретцова собака свеза точка ком)[/color],
116,СВЕЗА Уральский,Уральский,Станочник ребросклеивающего станка,"• Среднее образование;
• Опыт работы приветствуется, но необязателен. ","• Обеспечение подачи неформатного шпона из стоп на конвейер;
• Осуществления контроля за процессом ребросклеивания;
• Обеспечение устранение дефектов ребросклеивания;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Служебная развозка (ДОК, Войновка, ММС, Ембаево);
• Место работы: г. Тюмень, ул. Камчатская, д.196",-,Рабочие,Полная занятость,Сменный график,Производство,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
117,СВЕЗА Уральский,Уральский,Сушильщик шпона,"• Среднее образование;


","• Производит сушку шпона на сушилках в соответствии с технологическим режимом сушки и с существующими схемами по порокам древесины, дефектам обработки, качеству и назначению.
• Следит за правильной и равномерной посадкой шпона в сушилку, не допускает посадки сдвоенных листов. Во избежание заломов листы с краевыми закорами, трещинами разворачивает так, чтобы подавать шпон в сушилку ровной стороной листа, без дефектов.;
• Устраняет мелкие неполадки в сушилке, ликвидирует заломы и самовозгорания шпона в сушилке
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",24000,Рабочие,Полная занятость,Сменный график,Производство,ml.turova@sveza.com,• ml.turova@sveza.com  [color=violet](эм эл точка турова собака свеза точка ком)[/color],
118,СВЕЗА Кострома,Кострома,Грузчик,"• Среднее образование;
•Физическая сила и выносливость",• Погрузочно-разгрузочные работы в команде с другими грузчиками,"• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда;
• Место работы: г. Кострома, Комсомольская 2",от 25000,Рабочие,Полная занятость,Полный день,Производство,vo.shakhov@sveza.com,• vo.shakhov@sveza.com  [color=violet](ви оу точка шахов собака свеза точка ком)[/color],0
119,СВЕЗА Усть-Ижора,Санкт-Петербург,Начальник отдела АСУТП,"• Высшее техническое образование
• Опыт работы от 5 лет инженером АСУТП на производстве","• Руководство деятельностью отдела АСУТП;
• Обеспечение работоспособности оборудования;
• Модернизация и ввод в эксплуатацию новых автоматизированных систем;
• После внедрения автоматизированной системы обеспечение ее бесперебойного функционирования;
• Принятие оперативных мер по устранению возникающих в процессе работы нарушений;
• Анализ причин возникновения отказов и неисправностей на оборудовании АСУТП.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ (белая зарплата);
• Компенсационный пакет: спецодежда, ДМС;
• Служебная развозка (м. Рыбацкое, Колпино,  Металлострой, Никольское);
• Место работы: пос. Понтонный, ул. Фанерная.",,РСС,Полная занятость,Полный день,Техническое развитие ,oa.vlasova@sveza.com,• oa.vlasova@sveza.com [color=violet](oa точка власова собака свеза точка ком)[/color],
120,СВЕЗА Усть-Ижора,Санкт-Петербург,Специалист по управлению запасами,"• Образование высшее.
• Стаж работы на производстве от года.
• Уверенный пользователь MS Office и SAP
• Аналитические способности и навыки ведения переговоров, умение выстраивать коммуникации, структурированность, понимание смежных процессов.
• Знание принципов управления закупками и запасами, стандартных операционных процессов в закупках, основы знаний по экономике и договорной работе","• Составление плана образования отходов (номенклатура и объем) по данным от производства
• Анализ рынка и поиск клиентов по группам товаров
• Организация тендеров на продажу отходов, выбор клиентов по результатам торгов
• Подготовка договоров, оформление отгрузочных документы в САП
• Отслеживание отгрузок, остатков, уровня КЗ\ДЗ
• Анализ остатков и разработка мероприятий по оптимизации запасов
• Анализ результатов ППМ и формирование заявок на закупку ТМЦ
• Разработка рекомендаций по установке страховых запасов и типу ППМ
• Закупка услуг и ТМЦ от поставщиков и с других заводов ГК Свеза","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ (белая зарплата);
• Компенсационный пакет: спецодежда, ДМС;
• Служебная развозка (м. Рыбацкое, Колпино,  Металлострой, Никольское);
• Место работы: пос. Понтонный, ул. Фанерная.",,РСС,Полная занятость,Полный день,Закупки и логистика,oa.vlasova@sveza.com,• oa.vlasova@sveza.com [color=violet](oa точка власова собака свеза точка ком)[/color],
121,СВЕЗА Новатор,Новатор ,Специалист по развитию бизнес системы,"• Высшее образование/средне специальное образование;
• Опыт работы в отрасли не менее 1 года;
• Знание основных производственных процессов, технологий и оборудования;
• Знание основных применяемых в компании методик  и инструментов БСС;
• Владение офисным ПО (Outlook, Word, Excel, PowerPoint);
• Личная вовлеченность и приверженность ценностям компании;
• Готовность брать на себя ответственность за предлагаемые решения;
• Гибкость и восприимчивость к чужим идеям, мнениям, суждениям;
• Высокий уровень стрессоустойчивости.","• Анализ эффективности производственных и управленческих процессов по закрепленному направлению;
• Определение целевого состояния по закрепленному направлению;
• Разработка и предложение мероприятий по достижению целевого состояния процессов;
• Участие в выработке концепции по постановке целей, разработке КПЭ работников подразделений;
• Оценка потенциала улучшений и экономического эффекта в подразделении;
• Произведние расчетов технических и экономических эффектов и проводит согласование расчетов с руководством;
• Участие в проведении бенчмаркинговых исследований, разработка мероприятий, обеспечивающих создание конкурентных преимуществ подразделения;
• Содействие внедрению и контролю внедрения предложений, мероприятий по улучшениям;
• Оказание поддержки руководителям в организации рабочих групп с целью реализации мероприятий, в обеспечении распределения функционала и контроле выполнения задач;
• Обеспечение проведения обучения работников инструментам БСС;
• Консультация руководителей по вопросам практического использования инструментов БСС.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС
• Служебная развозка до комбината  ",,РСС,Полная занятость,Полный день,Развитие бизнеса,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
122,СВЕЗА Новатор,Новатор ,Мастер смены,"• Высшее/среднее-профессиональное образование;
• Опыт работы на производстве от 3 лет;
• Желание достигать результатов, расти и развиваться вместе с Компанией;
• Способность и готовность принимать  управленческие решения и нести за них ответственность;
• Знание технологии производства/требований к качеству продукции;
• Пользователь ПК: MS Office (Excel, Word).
","• Определять и устанавливать цели и задачи персоналу смены;
• Осуществлять контроль процесса выполнения поставленных целей и задач, при необходимости корректировать работу сотрудников для достижения результата;
• Обеспечивать соблюдение персоналом технологической и трудовой дисциплины, правил и норм по охране труда, технике безопасности и пожарной безопасности;
• Планировать и реализовать мероприятия, нацеленные на снижение уровня простоев оборудования, улучшение качества выпускаемой продукции, развитие персонала;
• Вести документооборот в рамках полномочий должности: производственный, технический и управленческий. ","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка до комбината  ",,РСС,Полная занятость,Сменный график,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
123,СВЕЗА Усть-Ижора,Санкт-Петербург,Оператор манипулятора,"• Среднее образование;
• Обязателен опыт работы на аналогичной позиции не менее 1 года;
• Водительское удостоверение: категория «С», удостоверение машиниста крана-манипулятора.
• Медицинская водительская справка.

","• Управление автомобилем КК-К12,5 (манипулятор) с использованием грузоподъемного механизма ( крана-манипулятора) с соблюдением техники безопасности на производственном объекте.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка (м. Рыбацкое, Колпино, Металлострой, Никольское);
• Место работы: пос. Понтонный,  ул. Фанерная, д.5.",36 000 до вычета НДФЛ,Рабочие,Полная занятость,Сменный график,Производство,oa.vlasova@sveza.com,• oa.vlasova@sveza.com [color=violet](oa точка власова собака свеза точка ком)[/color],
124,СВЕЗА Мантурово,Мантурово,Инженер-метролог,"Среднее специальное или высшее образование по специальности «Метрология» или смежное техническое.
Опыт работы с институтами метрологии","Составление и корректировка перечня средств измерения;
Подбор и рекомендации по приобретению средств измерения;
Контроль за правильностью монтажа измерительного и испытательного оборудования;
Приемка приборов из поверки;
Контроль за правильностью эксплуатации приборов и оборудования;
Разработка, согласовывать и утверждать График поверки и калибровки оборудования для мониторинга и измерений.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",55000,РСС,Полная занятость,Полный день,Техническое развитие ,ra.kudriashova@sveza.com,#ERROR!,1
125,СВЕЗА Мантурово,Мантурово,Инженер АСУ ТП,"Высшее техническое образование.
Опыт работы в аналогичной должности от 3 лет
Навыки работы с проектной и эксплуатационной документацией в части АСУ и электрооборудования","Техническая эксплуатация и обеспечение бесперебойной работы аппаратных и программных компонентов АСУТП;
Ремонт, регулировка, монтаж, испытания, наладка, юстировка аппаратуры АСУТП и контрольно-измерительных приборов;
Изучение причин отказов и нарушений в работе систем автоматизации, разработка мероприятий по их устранению и предупреждению, по повышению качества и надежности АСУТП;
Участие в работе по отладке, опытной эксплуатации и поэтапному введению в действие комплекса технических средств АСУТП;
Отладка промышленного программного обеспечения PLC и HMI.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка
",60000,РСС,Полная занятость,Полный день,Техническое развитие ,ra.kudriashova@sveza.com,#ERROR!,2
126,СВЕЗА Новатор,Новатор ,Резчик шпона и облицовочных материалов,"• Среднее образование;
• Приветствуется опыт работы на любых автоматических линиях, современных станках.","• Осуществление рубки и обрезки лущеного шпона по заданным размерам;
• Регулировка станков, ножниц;
• Отбор и укладка кускового шпона на подстопные места;
•  Участие в устранении неполадок в работе станка, уборка обслуживаемого оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС
• Служебная развозка до комбината  ",от 33 000,Рабочие,Полная занятость,Сменный график,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
